WE Potential	col1	col2	col3	col4	col5	col6	col7	col8	col9	col10	Index
-0.23941040039062494	-4.5245361328125e-05	-0.0003712921142578125	-0.0005077972412109374	-0.0006121673583984374	-0.0006869354248046874	-0.0007369842529296875	-0.0007836761474609376	-0.0008254852294921874	-0.0008706512451171872	-0.0009142913818359375	91
-0.241851806640625	-4.507141113281249e-05	-0.0003716754150390625	-0.0005083941650390624	-0.0006136798095703124	-0.0006863116455078126	-0.0007391070556640626	-0.0007839678955078125	-0.0008273028564453122	-0.0008721636962890626	-0.0009133624267578127	92
-0.24429321289062494	-4.490875244140624e-05	-0.00037205932617187504	-0.000509296875	-0.0006145825195312501	-0.0006881298828125	-0.0007397045898437501	-0.0007870068359375	-0.0008300366210937499	-0.0008739819335937499	-0.0009164013671875	93
-0.246734619140625	-4.4735412597656254e-05	-0.0003724499511718749	-0.000509901123046875	-0.000615797119140625	-0.000688734130859375	-0.000739698486328125	-0.000787916259765625	-0.000830640869140625	-0.0008751965332031251	-0.0009188366699218748	94
-0.24917602539062494	-4.457794189453125e-05	-0.0003728399658203125	-0.0005105047607421875	-0.0006167059326171875	-0.0006899481201171875	-0.0007415228271484374	-0.0007915716552734374	-0.0008324652099609374	-0.0008788519287109374	-0.0009194403076171877	95
-0.251617431640625	-4.4421081542968735e-05	-0.0003732278442382812	-0.0005111062622070313	-0.0006173074340820312	-0.0006905496215820312	-0.0007430398559570313	-0.0007909524536132812	-0.0008342874145507811	-0.0008788430786132813	-0.0009197366333007811	96
-0.25405883789062494	-4.427154541015625e-05	-0.00037357055664062497	-0.0005116931152343749	-0.0006185046386718749	-0.0006914416503906249	-0.000745152587890625	-0.000792149658203125	-0.0008354846191406253	-0.000880650634765625	-0.0009203234863281248	97
-0.256500244140625	-4.4108886718750006e-05	-0.0003739566040039063	-0.0005125979614257813	-0.0006197146606445312	-0.0006932620239257812	-0.0007454470825195313	-0.0007918338012695311	-0.0008351687622070312	-0.0008812503051757812	-0.0009245852661132813	98
-0.25894165039062494	-4.396484375e-05	-0.00037431335449218743	-0.0005131988525390624	-0.0006203155517578126	-0.0006935577392578124	-0.0007460479736328125	-0.0007930450439453123	-0.0008363800048828125	-0.0008830718994140624	-0.0009248809814453125	99
-0.261383056640625	-4.382904052734375e-05	-0.0003746343994140625	-0.0005137945556640624	-0.0006209112548828124	-0.0006944586181640624	-0.0007466436767578125	-0.0007948614501953125	-0.0008372808837890624	-0.0008845831298828127	-0.0009279180908203123	100
-0.26382446289062494	-4.3688964843750006e-05	-0.0003749853515625	-0.0005143896484375	-0.0006212011718750001	-0.0006953588867187499	-0.0007484594726562499	-0.0007960668945312499	-0.0008415380859375	-0.0008860937499999998	-0.0009300390625	101
-0.266265869140625	-4.355041503906249e-05	-0.0003753118896484375	-0.0005149908447265626	-0.0006221075439453125	-0.0006959600830078126	-0.0007487554931640626	-0.0007969732666015626	-0.0008400030517578125	-0.0008866949462890625	-0.0009306402587890623	102
-0.26870727539062494	-4.34295654296875e-05	-0.0003755789184570312	-0.0005152883911132811	-0.0006211843872070312	-0.0006977835083007811	-0.0007502737426757812	-0.0007969656372070311	-0.0008418264770507812	-0.0008882131958007811	-0.0009306326293945312	103
-0.271148681640625	-4.3291015625e-05	-0.0003758367919921875	-0.0005155767822265625	-0.0006226934814453124	-0.0006977667236328126	-0.0007511724853515624	-0.0008012213134765626	-0.0008418096923828123	-0.0008891119384765624	-0.0009336676025390623	104
-0.27359008789062494	-4.3153076171875e-05	-0.00037609649658203127	-0.0005158670043945311	-0.0006226785278320311	-0.0006995828247070311	-0.0007511575317382811	-0.0007990701293945311	-0.0008433206176757811	-0.0008900125122070313	-0.0009330422973632813	105
